"address","offset","partition_end","partition_size","name","confidence","tags","instructions","caller_count","callee_count","callers","callees","string_refs","indirect_string_refs","component"
"0x02049930","0x49810","0x02049956","38","FUN_02049930","mechanical","","16","1","0","0x020499BE","","","","0"
"0x02049956","0x49836","0x020499BE","104","FUN_02049956","mechanical","","35","1","0","0x020499BE","","","","0"
"0x020499BE","0x4989E","0x02049A80","194","FUN_020499BE","mechanical","","63","1","2","0x02049B18","0x02049930|0x02049956","","","0"
"0x02049A80","0x49960","0x02049B18","152","FUN_02049A80","mechanical","","55","2","0","0x02049B18|0x0204A2A2","","","","0"
"0x02049B18","0x499F8","0x0204A148","1584","FUN_02049B18","mechanical","","504","2","16","0x02049B18|0x0204A2A2","0x020003B2|0x02003692|0x020038AC|0x02004578|0x0204957C|0x02049906|0x020499BE|0x02049A80|0x02049B18|0x0204ECF6|0x02063530|0x02064D9E|0x020659F4|0x020676AA|0x02068084|0x02068B58","","","0"
"0x0204A148","0x4A028","0x0204A198","80","FUN_0204A148","mechanical","","27","1","1","0x0204A2A2","0x0204ECF6","","","0"
"0x0204A198","0x4A078","0x0204A202","106","FUN_0204A198","mechanical","","30","1","0","0x0204A2A2","","","","0"
"0x0204A202","0x4A0E2","0x0204A2A2","160","FUN_0204A202","mechanical","","45","1","1","0x0204A2A2","0x0202A4A8","","","0"
"0x0204A2A2","0x4A182","0x0204A7B8","1302","FUN_0204A2A2","mechanical","","432","1","13","0x0204A2A2","0x02004802|0x02049822|0x02049A80|0x02049B18|0x0204A148|0x0204A198|0x0204A202|0x0204A2A2|0x0204ECF6|0x0206469A|0x0206694A|0x02067D80|0x02067F1E","","","0"
"0x0204A7B8","0x4A698","0x0204AADE","806","dac_client_renderer","verified-location","audio|dac","279","0","6","","0x020003B2|0x020017E2|0x02049188|0x0204E5A8|0x0204ECF6|0x020659F4","","","0"
"0x0204AADE","0x4A9BE","0x0204AF18","1082","FUN_0204AADE","mechanical","","335","1","3","0x0204B06C","0x020046BE|0x020048EA|0x0204E5A8","","","0"
"0x0204AF18","0x4ADF8","0x0204AFC4","172","FUN_0204AF18","mechanical","","57","2","1","0x0204B06C|0x0204B85A","0x0204E5A8","","","0"
"0x0204AFC4","0x4AEA4","0x0204B02A","102","FUN_0204AFC4","mechanical","","37","2","0","0x0204B06C|0x0204B85A","","","","0"
"0x0204B02A","0x4AF0A","0x0204B06C","66","FUN_0204B02A","mechanical","","27","2","0","0x0204B06C|0x0204B85A","","","","0"
"0x0204B06C","0x4AF4C","0x0204B766","1786","FUN_0204B06C","mechanical","","562","1","13","0x0204B06C","0x020003B2|0x020046BE|0x020048EA|0x0204731A|0x02049906|0x0204AADE|0x0204AF18|0x0204AFC4|0x0204B02A|0x0204B06C|0x0204E5A8|0x02063530|0x020659F4","","","0"
"0x0204B766","0x4B646","0x0204B798","50","FUN_0204B766","mechanical","","15","1","0","0x0204B85A","","","","0"
"0x0204B798","0x4B678","0x0204B85A","194","FUN_0204B798","mechanical","","62","1","1","0x0204B85A","0x0204E5A8","","","0"
"0x0204B85A","0x4B73A","0x0204BE64","1546","FUN_0204B85A","mechanical","","487","1","13","0x0204B85A","0x020003B2|0x0204731A|0x0204771A|0x0204AF18|0x0204AFC4|0x0204B02A|0x0204B766|0x0204B798|0x0204B85A|0x0204E5A8|0x02063530|0x0206469A|0x020659F4","","","0"
"0x0204BE64","0x4BD44","0x0204C3A8","1348","FUN_0204BE64","mechanical","","444","1","14","0x0204BE64","0x020003B2|0x020005EE|0x02000602|0x020052EA|0x02042FC0|0x020430B8|0x0204786E|0x0204BE64|0x0204E5A8|0x020659F4|0x020676C8|0x02068084|0x02068B58|0x020690B2","","","0"
