"start_offset","end_offset","length"
"0xE44","0xE46","2"
"0x12DE","0x1302","36"
"0x1898","0x189A","2"
"0x18A0","0x18A4","4"
"0x18A6","0x18AA","4"
"0x18AC","0x18AE","2"
"0x18B0","0x18B2","2"
"0x18B8","0x18BA","2"
"0x18BC","0x18C0","4"
"0x18D6","0x18D8","2"
"0x18DC","0x18E0","4"
"0x18E6","0x18E8","2"
"0x18F0","0x18F4","4"
"0x1906","0x1908","2"
"0x190A","0x1910","6"
"0x1912","0x1914","2"
"0x1916","0x1918","2"
"0x191A","0x191E","4"
"0x1928","0x192A","2"
"0x1940","0x1942","2"
"0x1956","0x1958","2"
"0x1960","0x1962","2"
"0x1970","0x1974","4"
"0x197A","0x197C","2"
"0x198C","0x198E","2"
"0x1994","0x1996","2"
"0x1998","0x19A0","8"
"0x19A2","0x19A8","6"
"0x19AE","0x19B0","2"
"0x19B8","0x19BA","2"
"0x19BC","0x19C0","4"
"0x19D4","0x19D6","2"
"0x19D8","0x19DA","2"
"0x19DC","0x19DE","2"
"0x19E0","0x19E2","2"
"0x19E4","0x19E6","2"
"0x1A10","0x1A12","2"
"0x1A14","0x1A16","2"
"0x1A20","0x1A22","2"
"0x1A28","0x1A2A","2"
"0x1A2C","0x1A32","6"
"0x1A62","0x1A64","2"
"0x1A74","0x1A76","2"
"0x1A7C","0x1A7E","2"
"0x1A80","0x1A82","2"
"0x1A84","0x1A8A","6"
"0x1AAA","0x1AAC","2"
"0x1AAE","0x1AB4","6"
"0x1AB6","0x1ABC","6"
"0x1ABE","0x1AC0","2"
"0x1AC2","0x1AC4","2"
"0x1AC6","0x1AC8","2"
"0x1ACA","0x1AD0","6"
"0x1AD2","0x1AD4","2"
"0x1AD6","0x1ADC","6"
"0x1ADE","0x1AE0","2"
"0x1AE2","0x1AE4","2"
"0x1AE6","0x1AE8","2"
"0x1AEA","0x1AF0","6"
"0x1AF2","0x1AF4","2"
"0x1AF6","0x1AF8","2"
"0x1AFE","0x1B00","2"
"0x1B02","0x1B04","2"
"0x1B06","0x1B08","2"
"0x1B0A","0x1B0C","2"
"0x1B0E","0x1B10","2"
"0x1B12","0x1B14","2"
"0x1B3A","0x1B3C","2"
"0x1B50","0x1B56","6"
"0x1B5E","0x1B60","2"
"0x1B7A","0x1B7E","4"
"0x1B88","0x1B8A","2"
"0x1B98","0x1B9A","2"
"0x1BA0","0x1BA2","2"
"0x1BA4","0x1BA6","2"
"0x1BA8","0x1BAA","2"
"0x1BAE","0x1BB0","2"
"0x1BB2","0x1BB4","2"
"0x1BBA","0x1BBC","2"
"0x1BC6","0x1BC8","2"
"0x1BCA","0x1BCC","2"
"0x1BE2","0x1BE4","2"
"0x1BE6","0x1BE8","2"
"0x1BEA","0x1BEC","2"
"0x1BEE","0x1BF0","2"
"0x1BF2","0x1BF4","2"
"0x1C2A","0x1C2C","2"
"0x1C2E","0x1C30","2"
"0x1C38","0x1C3A","2"
"0x1C40","0x1C42","2"
"0x1C44","0x1C46","2"
"0x1C48","0x1C4A","2"
"0x1C7A","0x1C7C","2"
"0x1C7E","0x1C80","2"
"0x1C82","0x1C84","2"
"0x1C86","0x1C88","2"
"0x1C8A","0x1C8C","2"
"0x1C8E","0x1C90","2"
"0x1C92","0x1C98","6"
"0x1C9E","0x1CA0","2"
"0x1CA2","0x1CA4","2"
"0x1CA6","0x1CAC","6"
"0x1CAE","0x1CB0","2"
"0x1CE6","0x1CE8","2"
"0x1CF2","0x1CF4","2"
"0x1CF8","0x1CFA","2"
"0x1CFC","0x1D02","6"
"0x1D0A","0x1D0C","2"
"0x1D0E","0x1D10","2"
"0x1D3C","0x1D3E","2"
"0x1D48","0x1D4A","2"
"0x1D4E","0x1D50","2"
"0x1D52","0x1D58","6"
"0x1D60","0x1D62","2"
"0x1D64","0x1D66","2"
"0x1D9E","0x1DA0","2"
"0x1DA6","0x1DA8","2"
"0x1DAC","0x1DB2","6"
"0x1DBA","0x1DBC","2"
"0x1DBE","0x1DC0","2"
"0x1DCC","0x1DCE","2"
"0x1DF0","0x1DF2","2"
"0x1DFA","0x1DFC","2"
"0x1E04","0x1E06","2"
"0x1E18","0x1E1C","4"
"0x1E22","0x1E24","2"
"0x1E2E","0x1E30","2"
"0x1E36","0x1E38","2"
"0x1E3A","0x1E3C","2"
"0x1E3E","0x1E48","10"
"0x1E4E","0x1E50","2"
"0x1E58","0x1E5A","2"
"0x1E5C","0x1E60","4"
"0x1E74","0x1E76","2"
"0x1E78","0x1E7A","2"
"0x1E7C","0x1E7E","2"
"0x1E80","0x1E82","2"
"0x1E84","0x1E86","2"
"0x1EB2","0x1EB4","2"
"0x1EC2","0x1EC4","2"
"0x1ECA","0x1ECC","2"
"0x1ECE","0x1ED0","2"
"0x1ED2","0x1ED4","2"
"0x1F06","0x1F08","2"
"0x1F18","0x1F1C","4"
"0x1F20","0x1F22","2"
"0x1F24","0x1F26","2"
"0x1F28","0x1F2A","2"
"0x1F2C","0x1F2E","2"
"0x1F4E","0x1F50","2"
"0x1F52","0x1F58","6"
"0x1F5A","0x1F5C","2"
"0x1F5E","0x1F60","2"
"0x1F62","0x1F64","2"
"0x1F66","0x1F68","2"
"0x1F6A","0x1F6C","2"
"0x1F6E","0x1F70","2"
"0x1F72","0x1F74","2"
"0x1F76","0x1F78","2"
"0x1F7A","0x1F7C","2"
"0x1F7E","0x1F80","2"
"0x1F82","0x1F84","2"
"0x1F86","0x1F88","2"
"0x1F8A","0x1F8C","2"
"0x1F8E","0x1F90","2"
