"address","match","matched_instructions","partition_instructions","candidate_names","library_sources"
"0x020043B8","exact-partition","10","10","_diprintf_r|_dprintf_r|_fiprintf_r|_fiscanf_r|_fprintf_r|_fscanf_r|_fwprintf_r|_fwscanf_r","libg.a.txt|r1-large_libg.a.txt|r1_libg.a.txt|r2-large_libg.a.txt|r2_libg.a.txt|r3-large_libg.a.txt|r3_libg.a.txt|r4-large_libg.a.txt|r4_libg.a.txt|r5-large_libg.a.txt|r5_libg.a.txt"
"0x0204E3DC","library-prefix","46","57","modf","libc.a.txt|libg.a.txt|libm.a.txt|r1_libc.a.txt|r1_libg.a.txt|r1_libm.a.txt|r2_libc.a.txt|r2_libg.a.txt|r2_libm.a.txt|r3_libc.a.txt|r3_libg.a.txt|r3_libm.a.txt"
"0x0204E482","exact-partition","21","21","memcmp","libc.a.txt|libg.a.txt|r1_libc.a.txt|r1_libg.a.txt|r2_libc.a.txt|r2_libg.a.txt|r3_libc.a.txt|r3_libg.a.txt"
"0x0204E4BA","exact-partition","74","74","memmove","libc.a.txt|libg.a.txt|r1-large_libc.a.txt|r1-large_libg.a.txt|r1_libc.a.txt|r1_libg.a.txt|r2-large_libc.a.txt|r2-large_libg.a.txt|r2_libc.a.txt|r2_libg.a.txt|r3-large_libc.a.txt|r3-large_libg.a.txt|r3_libc.a.txt|r3_libg.a.txt|r4-large_libc.a.txt|r4-large_libg.a.txt|r4_libc.a.txt|r4_libg.a.txt|r5-large_libc.a.txt|r5-large_libg.a.txt|r5_libc.a.txt|r5_libg.a.txt"
"0x0204E57C","exact-partition","11","11","strcat","libc.a.txt|libg.a.txt|r1_libc.a.txt|r1_libg.a.txt|r2_libc.a.txt|r2_libg.a.txt|r3_libc.a.txt|r3_libg.a.txt"
"0x0204E5A8","exact-partition","58","58","strcmp","libc.a.txt|libg.a.txt|r1-large_libc.a.txt|r1-large_libg.a.txt|r1_libc.a.txt|r1_libg.a.txt|r2-large_libc.a.txt|r2-large_libg.a.txt|r2_libc.a.txt|r2_libg.a.txt|r3-large_libc.a.txt|r3-large_libg.a.txt|r3_libc.a.txt|r3_libg.a.txt|r4-large_libc.a.txt|r4-large_libg.a.txt|r4_libc.a.txt|r4_libg.a.txt|r5-large_libc.a.txt|r5-large_libg.a.txt|r5_libc.a.txt|r5_libg.a.txt"
"0x0204E648","exact-partition","38","38","strcpy","libc.a.txt|libg.a.txt|r1-large_libc.a.txt|r1-large_libg.a.txt|r1_libc.a.txt|r1_libg.a.txt|r2-large_libc.a.txt|r2-large_libg.a.txt|r2_libc.a.txt|r2_libg.a.txt|r3-large_libc.a.txt|r3-large_libg.a.txt|r3_libc.a.txt|r3_libg.a.txt|r4-large_libc.a.txt|r4-large_libg.a.txt|r4_libc.a.txt|r4_libg.a.txt|r5-large_libc.a.txt|r5-large_libg.a.txt|r5_libc.a.txt|r5_libg.a.txt"
"0x0204E6C2","exact-partition","12","12","strncmp","libc.a.txt|libg.a.txt|r1_libc.a.txt|r1_libg.a.txt|r2_libc.a.txt|r2_libg.a.txt|r3_libc.a.txt|r3_libg.a.txt"
"0x0204E6F0","library-prefix","16","122","strrchr","libc.a.txt|libg.a.txt|r1-large_libc.a.txt|r1-large_libg.a.txt|r1_libc.a.txt|r1_libg.a.txt|r2-large_libc.a.txt|r2-large_libg.a.txt|r2_libc.a.txt|r2_libg.a.txt|r3-large_libc.a.txt|r3-large_libg.a.txt|r3_libc.a.txt|r3_libg.a.txt|r4-large_libc.a.txt|r4-large_libg.a.txt|r4_libc.a.txt|r4_libg.a.txt|r5-large_libc.a.txt|r5-large_libg.a.txt|r5_libc.a.txt|r5_libg.a.txt"
"0x0204E85A","exact-partition","10","10","normalize","r1-large_libcompiler-rt.a.txt|r1-large_libcompiler_rt.a.txt|r1_libcompiler-rt.a.txt|r1_libcompiler_rt.a.txt|r2-large_libcompiler-rt.a.txt|r2-large_libcompiler_rt.a.txt|r2_libcompiler-rt.a.txt|r2_libcompiler_rt.a.txt|r3-large_libcompiler-rt.a.txt|r3-large_libcompiler_rt.a.txt|r3_libcompiler-rt.a.txt|r3_libcompiler_rt.a.txt"
