"target","kinds","source_offsets"
"0x02030131","image","0x6AEFA"
"0x02030201","image","0x5BE94"
"0x02030205","image","0x9080A|0x90816|0x90822|0x9082E"
"0x02030250","instruction","0x5BED8"
"0x020303C4","instruction","0x57938"
"0x020303C8","instruction","0x5793C"
"0x020303E6","instruction","0x57940"
"0x020303F6","instruction","0x57944"
"0x020303FA","instruction","0x57948"
"0x0203054C","instruction","0x90520"
"0x02030A60","instruction","0x90534"
"0x02030AE6","instruction","0x90538"
"0x02030B14","instruction","0x904C8|0x90540"
"0x02030B6A","instruction","0x904CC|0x90544"
"0x02030B8C","instruction","0x904D4|0x9054C"
"0x02030B9A","instruction","0x904D8|0x90550"
"0x02030BA8","instruction","0x904E0|0x90558"
"0x02030BD2","instruction","0x904EC|0x90564"
"0x02030BE2","instruction","0x90568"
"0x02030C30","instruction","0x904F4|0x9056C"
"0x02030C34","instruction","0x904FC|0x90574"
"0x02030C36","instruction","0x90500|0x90578"
"0x02030C3A","instruction","0x90504|0x9057C"
"0x02030C3E","instruction","0x9050C|0x90584"
"0x02030C62","instruction","0x90514|0x9058C"
"0x02030C66","instruction","0x904A8"
"0x02030D18","instruction","0x904BC"
"0x02030E32","instruction","0x904C0"
"0x020311D6","instruction","0x90690"
"0x02031894","instruction","0x90598|0x90610"
"0x02031A00","instruction","0x9059C|0x90614"
"0x020321F0","instruction","0x905A0|0x90618"
"0x020330BE","instruction","0x905A4|0x9061C"
"0x020331F6","instruction","0x905A8|0x90620"
"0x02034D42","instruction","0x90624"
"0x0203504A","instruction","0x90628"
"0x020354CA","instruction","0x90630"
"0x02035712","instruction","0x90634"
"0x02035722","instruction","0x9063C"
"0x02035728","instruction","0x905C8|0x90640"
"0x02035916","instruction","0x905D0|0x90648"
"0x02035C88","instruction","0x9064C"
"0x02035F58","instruction","0x905D8|0x90650"
"0x0203604A","instruction","0x905DC|0x90654"
"0x020363E8","instruction","0x905E0|0x90658"
"0x020368EA","instruction","0x905E4|0x9065C"
"0x020369AC","instruction","0x905E8|0x90660"
"0x02036A76","instruction","0x905EC|0x90664"
"0x020373F2","instruction","0x905F0|0x90668"
"0x02037470","instruction","0x905F4|0x9066C"
"0x02037490","instruction","0x905F8|0x90670"
"0x020374BC","instruction","0x905FC|0x90674"
"0x02037798","instruction","0x90600|0x90678"
"0x020381BC","instruction","0x90604|0x9067C"
"0x020383F4","instruction","0x90608|0x90680"
"0x02038438","instruction","0x31448|0x317E0"
"0x0203847A","instruction","0x31454|0x317EA"
"0x020384BC","instruction","0x31464"
"0x020384CA","instruction","0x3146C"
"0x020384D8","instruction","0x905AC"
"0x02038624","instruction","0x905B8"
"0x0203862E","instruction","0x905C4"
"0x0203863A","instruction","0x36746|0x36D32"
"0x02038740","instruction","0x3674E"
"0x02038754","instruction","0x3720E"
"0x02038778","instruction","0x36C78"
"0x0203879C","instruction","0x3713A"
"0x020389A4","instruction","0x7114"
"0x020398D8","instruction","0x90748"
"0x0203999E","instruction","0x693C"
"0x02039C2A","instruction","0x906A4"
"0x02039CAA","instruction","0x39B62"
"0x02039E6A","instruction","0x694C"
"0x02039E76","instruction","0x5C2F8"
"0x02039EAC","instruction","0x5C304"
"0x02039ECA","instruction","0x5C308"
"0x02039F4C","instruction","0x90750"
"0x02039F80","instruction","0x906DC"
"0x0203A286","instruction","0x906E0"
"0x0203A2A0","instruction","0x906E4"
"0x0203A382","instruction","0x906E8"
"0x0203A508","instruction","0x57980"
"0x0203A56C","instruction","0x57984"
"0x0203A5DE","instruction","0x57988"
"0x0203A664","instruction","0x5798C"
"0x0203A682","instruction","0x57990"
"0x0203A6BC","instruction","0x906A0"
"0x0203A6F4","instruction","0x906F8"
"0x0203A7C0","instruction","0x906FC"
"0x0203A8EE","instruction","0x9070C"
"0x0203A8FC","instruction","0x90700"
"0x0203A940","instruction","0x90710"
"0x0203AA56","instruction","0x906C0"
"0x0203AAC2","instruction","0x906C4"
"0x0203AADA","instruction","0x906C8"
"0x0203AB2E","instruction","0x906CC"
"0x0203AC30","instruction","0xA0148"
"0x0203ACB6","instruction","0xA014C"
"0x0203AD04","instruction","0x3AB50"
"0x0203AE72","instruction","0xA0158"
"0x0203AE94","instruction","0xA015C"
"0x0203AF2A","instruction","0x30E2"
"0x0203B180","instruction","0x6AB6"
"0x0203B1D2","instruction","0x6AA6"
"0x0203B28A","instruction","0x90758"
"0x0203B2A0","instruction","0x3EDC0|0x6931C"
"0x0203B31A","instruction","0x6DAA"
"0x0203B3BC","instruction","0x90760"
"0x0203B466","instruction","0x49AE6"
"0x0203B50E","instruction","0x90768"
"0x0203B520","instruction","0x90770"
"0x0203B912","instruction","0x3C06E"
"0x0203C10A","instruction","0x57A48"
"0x0203C19C","instruction","0x9069C"
"0x0203C1B2","instruction","0x3C080"
"0x0203C2E8","instruction","0x6CDE"
"0x0203C3AE","instruction","0x6D08"
"0x0203CB76","instruction","0x6ABE0"
"0x0203E1D0","instruction","0x866FE|0x86738"
"0x0203E53F","image","0x1B54"
"0x0203E850","instruction","0x8E69E"
"0x0203E854","instruction","0x36B7C"
"0x0203E855","image","0x1B164"
"0x0203E857","image","0x7DEA2"
"0x0203E866","instruction","0x64400"
"0x0203EB1C","instruction","0x3E142"
"0x0203F1E8","instruction","0x81330|0x81348"
"0x0203F1EC","instruction","0x81334|0x8134C"
"0x0203F1F0","instruction","0x81338|0x81350"
"0x0203F1F4","instruction","0x8133C|0x81354"
"0x0203F1F8","instruction","0x81340|0x81358"
"0x0203F1FC","instruction","0x813AC"
"0x0203F200","instruction","0x813B0"
"0x0203F202","instruction","0x813B4"
"0x0203F204","instruction","0x813B8"
"0x0203F206","instruction","0x813BC"
"0x0203F208","instruction","0x813C0"
"0x0203F800","instruction","0xA208|0x1C9F4"
"0x0203F801","image","0x6CFD8|0x74A6A"
"0x0203F880","instruction","0xC19C|0x8CFA0"
"0x0203F881","image","0x11B2A"
"0x0203F886","instruction","0x6D73A"
"0x0203FC01","image","0x939B0"
"0x0203FD80","image","0x913F4"
"0x0203FD85","image","0x4E24A"
"0x0203FD86","image","0xD34"
"0x020402DD","image","0x84AE2"
"0x02040365","image","0x8E194"
"0x0204037E","instruction","0x9071C"
"0x02040400","image","0x3EADA"
"0x020404CC","instruction","0x90720"
"0x02040509","image","0x5C0D0"
"0x02040545","image","0x9D1D2"
"0x02040640","instruction","0x9D1D6"
"0x02040641","image","0x9D1DA"
"0x02040642","instruction","0x9D1DE"
"0x02040643","image","0x9D1E2"
"0x02040644","instruction","0x9D1E6"
"0x02040650","instruction","0x40318"
"0x02040862","instruction","0x90780"
"0x02040872","instruction","0x90688"
"0x02040900","instruction","0x5C408"
"0x02041FE6","instruction","0x407B8"
"0x02042142","instruction","0x41C86"
"0x0204215C","instruction","0x5C214"
"0x02042164","instruction","0x5C218"
"0x02042178","instruction","0x5C21C"
"0x0204218C","instruction","0x5C220"
"0x02042194","instruction","0x5C224"
"0x0204219C","instruction","0x5C228"
"0x020421E0","instruction","0x5C22C"
"0x020421E8","instruction","0x4166A"
"0x020422A4","instruction","0x40EF6"
"0x02042798","instruction","0x41098"
"0x020428BC","instruction","0x5BD1C"
"0x0204291A","instruction","0x5BD20"
"0x02042B28","instruction","0x907C8"
"0x02042BE4","instruction","0x907A0"
"0x02042CFE","instruction","0x907A8"
"0x02042D1C","instruction","0x907BC"
"0x02042DC2","instruction","0x907C0"
"0x02042DF8","instruction","0x907C4"
"0x02042E62","instruction","0x907CC"
