"start","end","pointer_count","targets","sample"
"0x02000AFC","0x02000B00","1","0x0205BD4E","midi_route"
"0x020035C0","0x020035C4","1","0x0205BCCE","app_core"
"0x02003D20","0x02003D24","1","0x02062750","0123456789ABCDEFD"
"0x020042DC","0x020042E0","1","0x02062589","(null)"
"0x02004400","0x02004404","1","0x0205BA7C","%04X"
"0x02004564","0x02004568","1","0x02062644","sys_event"
"0x02004ECC","0x02004ED0","1","0x0205BCCE","app_core"
"0x020077A0","0x020077A4","1","0x020698C8","INCLUDE_BTCTRLER-$17e777e"
"0x02008058","0x0200805C","1","0x0205BD4E","midi_route"
"0x0201DCFC","0x0201DD00","1","0x020623B8","Text"
"0x0201F88C","0x0201F890","1","0x0205BB01","#%06X"
"0x02020F4C","0x02020F50","1","0x0205BB7B","AMP %d"
"0x0202EB90","0x0202EB94","1","0x0205BEAE","audio_server"
"0x02030230","0x02030234","1","0x0205BD4E","midi_route"
"0x02030894","0x02030898","1","0x0205BEC9","app_area_head"
"0x02030E7C","0x02030E80","1","0x0205BE94","EXT_RESERVED"
"0x02031404","0x02031408","1","0x02062547","Apple"
"0x02039710","0x02039714","1","0x0205BB0D","sdram"
"0x02039C7C","0x02039C80","1","0x0205BD12","sys_timer"
"0x02039D04","0x02039D08","1","0x0205BCCE","app_core"
"0x0203A85C","0x0203A860","1","0x0205F881","g""?%"
"0x0203AAA8","0x0203AAAC","1","0x0205F886","$?V6'?"
"0x0203AC80","0x0203AC84","1","0x0205BB6E","timer"
"0x0203AE54","0x0203AE58","1","0x0205BCCE","app_core"
"0x0203C414","0x0203C418","1","0x02062590","no define getenv"
"0x0203DF70","0x0203DF74","1","0x0205C0F4","      ++&&   ++&&   "
"0x020405D4","0x020405D8","1","0x0205BED7","audio_encoder"
"0x02047958","0x0204795C","1","0x0205BB5C","spdif"
"0x02047C98","0x02047C9C","1","0x0205BB62","plnk1"
"0x02048078","0x0204807C","1","0x0205BB6E","timer"
"0x02049234","0x02049238","1","0x0205BAE5","iis0"
"0x0204FAD0","0x0204FAD4","1","0x0206242F","Autofilter"
"0x0204FB28","0x0204FB2C","1","0x02062442","Chorus"
"0x0204FB74","0x0204FB78","1","0x02062449","Flanger"
"0x0204FBC4","0x0204FBC8","1","0x02062451","Phaser"
"0x0204FC14","0x0204FC18","1","0x02062467","Tremolo"
"0x0204FC60","0x0204FC64","1","0x02062475","Univibe"
"0x0204FCAC","0x0204FCB0","1","0x0206247D","Vibrato"
"0x0204FCF0","0x0204FCF4","1","0x0206248B","Noise Gate++"
"0x0204FD30","0x0204FD34","1","0x02062498","AI Gate MS"
